x=z	erf value (Homework)	Time Homework (ms)	erf value (New)	Time New (ms)	Exact erf value	 Difference  Homework	Difference New
-3.0	-0.9999786323	0.28790	-0.9999781123	0.12550	-0.9999779095	7.228234E-007	2.027915E-007
-2.0	-0.9949003185	0.00060	-0.9950427832	0.00030	-0.9953222650	4.219465E-004	2.794818E-004
-1.0	-0.8427299585	0.01930	-0.8426980462	0.01300	-0.8427007929	2.916554E-005	2.746785E-006
-0.5	-0.5204508336	0.00020	-0.5204603909	0.00010	-0.5204998778	4.904419E-005	3.948689E-005
0.0	0.0000000000	0.00020	0.0000000000	0.00000	0.0000000000	0.000000E+000	0.000000E+000
0.5	0.5204508336	0.00020	0.5204603909	0.00010	0.5204998778	4.904419E-005	3.948689E-005
1.0	0.8427299585	0.00040	0.8426980462	0.00030	0.8427007929	2.916554E-005	2.746785E-006
1.5	0.9664405664	0.00090	0.9660627160	0.00110	0.9661051465	3.354200E-004	4.243043E-005
2.0	0.9949003185	0.00030	0.9950427832	0.00050	0.9953222650	4.219465E-004	2.794818E-004
3.0	0.9999786323	0.00020	0.9999781123	0.00020	0.9999779095	7.228234E-007	2.027915E-007
