=====Network with 3 hidden neurons trained to approximate g(x)=cos(5*x-1)*exp(-x*x) on [-1,1] using Gaussian wavelets.=====
	x	g(x)	ANN response	Error
-1.00	0.3532	0.3565	0.0033
-0.95	0.3493	0.3508	0.0015
-0.90	0.3153	0.3141	0.0012
-0.85	0.2486	0.2454	0.0032
-0.80	0.1496	0.1459	0.0037
-0.75	0.0214	0.0189	0.0025
-0.70	-0.1291	-0.1293	0.0002
-0.65	-0.2924	-0.2900	0.0024
-0.60	-0.4560	-0.4517	0.0043
-0.55	-0.6064	-0.6014	0.0049
-0.50	-0.7293	-0.7254	0.0039
-0.45	-0.8119	-0.8103	0.0016
-0.40	-0.8436	-0.8451	0.0014
-0.35	-0.8177	-0.8220	0.0042
-0.30	-0.7322	-0.7381	0.0059
-0.25	-0.5901	-0.5960	0.0059
-0.20	-0.3998	-0.4040	0.0041
-0.15	-0.1743	-0.1753	0.0010
-0.10	0.0700	0.0727	0.0026
-0.05	0.3145	0.3202	0.0057
0.00	0.5403	0.5476	0.0073
0.05	0.7299	0.7367	0.0069
0.10	0.8689	0.8732	0.0043
0.15	0.9474	0.9477	0.0004
0.20	0.9608	0.9567	0.0040
0.25	0.9102	0.9026	0.0076
0.30	0.8021	0.7928	0.0092
0.35	0.6473	0.6390	0.0083
0.40	0.4604	0.4556	0.0048
0.45	0.2575	0.2579	0.0004
0.50	0.0551	0.0610	0.0060
0.55	-0.1317	-0.1214	0.0103
0.60	-0.2903	-0.2785	0.0119
0.65	-0.4117	-0.4019	0.0098
0.70	-0.4908	-0.4865	0.0043
0.75	-0.5267	-0.5302	0.0036
0.80	-0.5220	-0.5333	0.0113
0.85	-0.4827	-0.4983	0.0156
0.90	-0.4166	-0.4292	0.0126
0.95	-0.3328	-0.3310	0.0018
