 x	true	net	dtrue	dnet	d2true	d2net	Atrue	Anet
-1.00   0.9602   0.9637  -1.3971  -1.4630 -24.0043 -24.2590   0.0000   0.0000
-0.95   0.8612   0.8614  -2.5414  -2.6012 -21.5298 -21.1128   0.0458   0.0459
-0.90   0.7087   0.7066  -3.5277  -3.5590 -17.7167 -17.0516   0.0852   0.0853
-0.85   0.5121   0.5093  -4.2947  -4.2931 -12.8021 -12.1927   0.1159   0.1158
-0.80   0.2837   0.2816  -4.7946  -4.7679  -7.0916  -6.7169   0.1359   0.1357
-0.75   0.0376   0.0372  -4.9965  -4.9584  -0.9401  -0.8640   0.1440   0.1437
-0.70  -0.2108  -0.2093  -4.8877  -4.8528   5.2699   5.0769   0.1396   0.1394
-0.65  -0.4461  -0.4432  -4.4749  -4.4546  11.1522  10.7828   0.1231   0.1230
-0.60  -0.6536  -0.6502  -3.7840  -3.7841  16.3411  15.9177   0.0955   0.0955
-0.55  -0.8206  -0.8177  -2.8578  -2.8778  20.5140  20.1566   0.0584   0.0586
-0.50  -0.9365  -0.9349  -1.7539  -1.7882  23.4114  23.2118   0.0143   0.0146
-0.45  -0.9941  -0.9945  -0.5410  -0.5802  24.8532  24.8577  -0.0342  -0.0339
-0.40  -0.9900  -0.9922   0.7056   0.6717  24.7498  24.9533  -0.0841  -0.0839
-0.35  -0.9243  -0.9279   1.9083   1.8886  23.1076  23.4583  -0.1322  -0.1321
-0.30  -0.8011  -0.8053   2.9924   2.9921  20.0286  20.4417  -0.1756  -0.1757
-0.25  -0.6282  -0.6318   3.8904   3.9103  15.7043  16.0816  -0.2115  -0.2118
-0.20  -0.4161  -0.4183   4.5465   4.5825  10.4037  10.6549  -0.2377  -0.2382
-0.15  -0.1782  -0.1784   4.9199   4.9639   4.4562   4.5188  -0.2527  -0.2532
-0.10   0.0707   0.0728   4.9875   5.0294  -1.7684  -1.9157  -0.2554  -0.2558
-0.05   0.3153   0.3192   4.7449   4.7746  -7.8831  -8.2150  -0.2457  -0.2460
 0.00   0.5403   0.5452   4.2074   4.2172 -13.5076 -13.9565  -0.2242  -0.2243
 0.05   0.7317   0.7365   3.4082   3.3946 -18.2922 -18.7609  -0.1922  -0.1920
 0.10   0.8776   0.8811   2.3971   2.3619 -21.9396 -22.3205  -0.1518  -0.1514
 0.15   0.9689   0.9703   1.2370   1.1869 -24.2228 -24.4209  -0.1054  -0.1049
 0.20   1.0000   0.9987   0.0000  -0.0540 -25.0000 -24.9538  -0.0559  -0.0554
 0.25   0.9689   0.9651  -1.2370  -1.2823 -24.2228 -23.9210  -0.0064  -0.0060
 0.30   0.8776   0.8720  -2.3971  -2.4217 -21.9396 -21.4284   0.0400   0.0401
 0.35   0.7317   0.7255  -3.4082  -3.4040 -18.2922 -17.6726   0.0804   0.0803
 0.40   0.5403   0.5351  -4.2074  -4.1724 -13.5076 -12.9199   0.1124   0.1120
 0.45   0.3153   0.3126  -4.7449  -4.6846  -7.8831  -7.4826   0.1339   0.1333
 0.50   0.0707   0.0714  -4.9875  -4.9148  -1.7684  -1.6927   0.1436   0.1429
 0.55  -0.1782  -0.1740  -4.9199  -4.8534   4.4562   4.1232   0.1409   0.1403
 0.60  -0.4161  -0.4092  -4.5465  -4.5070  10.4037   9.6655   0.1260   0.1257
 0.65  -0.6282  -0.6203  -3.8904  -3.8957  15.7043  14.6792   0.0997   0.0998
 0.70  -0.8011  -0.7949  -2.9924  -3.0513  20.0286  18.9655   0.0638   0.0643
 0.75  -0.9243  -0.9222  -1.9083  -2.0136  23.1076  22.3877   0.0204   0.0211
 0.80  -0.9900  -0.9938  -0.7056  -0.8282  24.7498  24.8713  -0.0277  -0.0270
 0.85  -0.9941  -1.0033   0.5410   0.4576  24.8532  26.4002  -0.0775  -0.0772
 0.90  -0.9365  -0.9471   1.7539   1.7965  23.4114  27.0081  -0.1260  -0.1263
 0.95  -0.8206  -0.8236   2.8578   3.1442  20.5140  26.7687  -0.1702  -0.1708
 1.00  -0.6536  -0.6332   3.7840   4.4609  16.3411  25.7841  -0.2072  -0.2075
